,experiment,size,iterations,cost,duration
0,google/gke/cpu,64,5,6.926782275644938,77.00227332115173
1,google/gke/cpu,32,5,2.7220194652133514,60.51920747756958
2,google/gke/cpu,128,5,28.297253369818794,157.28463459014893
3,google/gke/cpu,256,5,105.45961700948078,293.0881154537201
4,google/compute-engine/cpu,64,5,4.947520768398708,54.9996132850647
5,google/compute-engine/cpu,32,5,1.6411604651133218,36.48825144767761
6,google/compute-engine/cpu,128,5,22.453365239461263,124.80254888534546
7,google/compute-engine/cpu,256,5,120.15913902960882,333.9402949810028
8,aws/eks/cpu,64,5,6.2458632446289055,121.98951649665833
9,aws/eks/cpu,32,5,1.9627089233398434,76.66831731796265
10,aws/eks/cpu,128,5,25.910502709960937,253.03225302696228
11,aws/eks/cpu,256,5,151.4986064453125,739.7392892837524
12,aws/parallel-cluster/cpu,64,5,2.8671999999999995,56
13,aws/parallel-cluster/cpu,32,5,1.4335999999999998,56
14,aws/parallel-cluster/cpu,128,5,6.144,60
15,aws/parallel-cluster/cpu,256,5,14.336,70
16,azure/aks/cpu,64,5,31.11584442138672,486.1850690841675
17,azure/aks/cpu,32,5,8.404446517944336,262.6389536857605
18,google/gke/gpu,32,5,132.28655291002062,637.082072019577
19,google/gke/gpu,8,5,33.08691981777615,637.3764519691467
20,google/gke/gpu,16,5,66.0946044664171,636.6132707595825
21,google/gke/gpu,4,5,16.364466699557834,630.4803094863892
22,google/compute-engine/gpu,32,5,133.274576691352,641.840320110321
23,google/compute-engine/gpu,8,5,33.14747688123914,638.543004989624
24,google/compute-engine/gpu,16,5,66.56144821912977,641.1098394393921
25,google/compute-engine/gpu,4,5,16.46394852557712,634.3130853176117
26,azure/cyclecloud/gpu,32,5,219.51671111111114,1121
27,azure/cyclecloud/gpu,8,5,69.41897777777778,1418
28,azure/cyclecloud/gpu,16,5,138.34840000000003,1413
29,azure/cyclecloud/gpu,4,5,34.85635555555556,1424
30,azure/aks/gpu,32,5,118.93705782010821,607.3726284503937
31,azure/aks/gpu,8,5,29.423562889973326,601.0260236263275
32,azure/aks/gpu,16,5,59.02057191591263,602.7974889278412
33,azure/aks/gpu,4,5,14.766825473562879,603.2747583389282
34,aws/eks/gpu,8,5,47.09890825327767,617.3757271766663
35,aws/eks/gpu,16,5,94.016520463011,616.1875066757202
36,aws/eks/gpu,4,5,23.482489323319328,615.6201686859131
